from the tops of trees,red cardinals will alight,in the dormant grass
out of cold thin air,brilliant carmine leaves will form,on dormant branches
which one is tallest,the nearest or the farthest,but both in my mind
riverbed secrets,yielding fragmental colours,pop and beer bottles
like a summer breeze,blue sky landing in my heart,a cloud with feathers
slung between branches,radiating summer sun,the winter hammock
the morning sunrise,so beautiful to behold,glowing breath of light
corner of my eye,perception is blurry line,between truth and lie
happy to be here,sparrow says good morning day,in the golden light
tears fall like silence,haiku hanging from a branch,words are descending
my quizzical too,bluest bluet brusquely bluffs,bully on a branch
rest your weary feet,comfy place to sit and eat,the squirrel settle
sea spray's frothy lace,waves sweeping sandy edges,#NAME?
i'm so sweet on him,bright red flash on dormant grass,i call him my crush
alchemy of light,turning moments into gold,everywhere i look
how you eye me so,inclined on a branch steeply,homage picasso
cupid's arrow darts,love often feels like a blur,red heart with feathers
round and red and warm,sunshine for a cold monday,bright scarlet engine
perching on one foot,i'm a little icicle,on a winter branch
dawn and dusk cycle,another tree has fallen,now rests silently
a building's dark heart,bleeds grime decay from it's seams,the city's mirror
yellow hammering,audible beacon tapping,visible morse code
a stream of my thoughts,washing over my short life,the sound renews me
my empty strumming,overtaken by the storm,fading memories
you can't fence him in,rebel in a shark skin suit,he's blue greased lightning
shadows of my life,walking closer or away,i'm still no closer
resting here to sing,tiny graces of the wind,trills pierce leaden air
buttons and bellows,a box full of singing reeds,the concertina
in the summer heat,like hot coals under your feet,where sun and sand meet
in sowing questions,for which there are no answers,she's finding her peace
got just a dusting,snow heavier south of here,it's still very cold
stranger to england,fragile fugitive fingers,reaching for the sun
colourful music,temporal variations,my reflected theme
penitent petal,not quite finished unfurling,awaits sun's blessing
no pole no paddle,it doesn't really matter,just go with the flow
as if by magic,sun and rain and rain again,and a pearl of light
in the way that we,without even noticing,complete each other
a shameless blue heart,glows in the jade summer woods,draped with muslin wings
after the flower,and before the fruit red gems,on a green background
oh how small my sweet,is your painted parasol,in this intense heat
sweet lipstick kisses,left by the sun on beaches,at the end of day
deep in the darkness,fly all things that we most fear,lose them in the light
searching for blue sky,navigating by the stars,sometimes it finds you
concrete atlantus,tried to sail the seven seas,but sank just offshore
a blue note resting,in a line of green music,sweet and clear and high
i have seen the world,spread below me like a quilt,confident of air
through a glass darkly,we see a poor reflection,of the other side
silence afforded,only from throbbing numbness,no longer feeling
so many seeds red,and juicy dripping staining,a rainy autumn
contrast loving child,born of daylight and of night,at their edges stirs
fog has descended,muting the pines' green needles,at november's end
wasting not a thing,life puts pears in strawberries,mysteries unfold
no horizon: light,as a line down to the side,of the winter sea
guess where dear the sea,is green even in winter,mirrored by my eyes
the size of a dime,blending in is his strong suit,animated rock
an object light skin,wearing the august sun as,a silver garland
dancing on water,in shimmering summer shades,we swim through the sky
maple lights in wood,like stars of natures heaven,nourishing the earth
autumn sunrays shine,on forest trees soon to sleep,coloured shadows weep
night sunset in wales,ancestors of this landscape,gazed upon this scene
walk lime avenue,where golden autumn stars shine,and fall on the earth
the snow white angels,out of the shadows they glide,perfect harmony
white wings of angel,floating in the autumn sky,seagull softly fly
rust and red magic,lit by nature's autumn sun,tall trees protecting
sinking of the sun,sunlight sparkles on the lake,before black night comes
sunset on the hill,lights the end of autumn day,with glowing sunrays
before the red gate,only one choice to be made,enter or escape
the power lines stretched,across the kingdom of frost,north of all music
swans rest together,in the evening star sunset,until darkness falls
shadows and sunset,spirits of coal ships sail here,in new cardiff bay
always remember,you will never be alone,when you have a friend
darkness has a light,when we look through the shadows,for love we may seek
white barn owl i held,heart shaped face and beautiful,looked at me with peace
eyes of golden light,face with dreamlike majesty,hidden voice within
look of pride in eyes,beautiful kestrel has the,colours of rainbow
in the morning snow,beauty stands  so motionless,black as ebony
no bunch of flowers,only this magnolia bud,i do not forget
a skein of seven,silent sandhills overhead,an ancient journey
dragonfly so blue,just rests on a rock in pond,it will never fly
by the jetty waits,a silver boat for sailing,on water so blue
winter frozen lakes,supporting a frozen snake,motionless swimming
earth frozen with ice,snow covered in winters cold,ponies on the hill
i walked the long path,to the ancient cathedral,and my soul found peace
light shone from the hill,in this place of such beauty,shades of blues and greens
village pond of old,reflection of ancient farm,mirrored on the sky
spreading tentacles,mimic the colour of dreams,rocked in tidal sway
clouds at sunset time,hide the dying gold sun rays,shine as magic lights
tardis rise from sea,copper roof now shining gold,space like sentinel
born in raging wind,lashed with icy rain on hill,beautiful today
heaven meets the earth,sky blue with white clouds sailing,jewelled with silver
memories so pure,life that was so beautiful,colours of sunset
only the one now,hold on tight and remember,protect and cherish
green is the colour,silent tree music plays here,time to stop and stare
view across the vale,as far as the eye can see,yellow on yellow
under azure sky,a small child stands on the stones,ancient abbey stones
maytime bluebell time,sapphire stars of perfume,painted on welsh hills
past years reflected,in these cold canal waters,for nine hundred years
in evening's last light,a golden yellow lily,gleams a warm good night
like a ship sailing,on the sea to distant lands,looking out on bay
here on golden pond,sunset glows as shining stars,glittering like pearls
billowing softly,sheets on summer lines drying,the laundress winds blow
here they come for peace,blessing from the holy pope,spiritual love
rising from the earth,space like vision of beauty,treasure of plantlife
a perchance to dream,hear singing of the sea birds,boats bobbing on tide
out of summer air,with gold and black magic rings,came this dragonfly
path down to sand beach,wild welsh winds seals and dolphins,place of harmony
place of pilgrimage,church of the sea and the wind,resting quietly
magical moments,wishes do come true for you,when you wait awhile
ponies on the sand,summer evenings will soon end,racing to the sea
sunlight fading fast,seagulls resting on the sands,time for going home
summer becomes fall,hot earth breathes sighs of relief,flowers set their seeds
are you sure that eve,in the garden offered one,small apple only
on the sea shore line,walking under setting sun,shadows of people
only the gold sun,setting over the welsh sea,shimmering like silk
light on the mountains,shadows in the green valleys,grey clouds in the sky
only natures sounds,the cries of curlews and sheep,echoes of silence
grey clouds in the sky,silver blue waters in pool,shadows reflecting
lake of magic tales,light of heaven shining here,with soft autumn shades
green gold autumn hues,shadows long with sun so low,distant sea and sky
in this autumn morn,rusty reflections of trees,gliding of the swans
bright lights in the wood,shimmering in the shadows,leaves of maple tree
copper medals shine,natures prizes for beauty,in magic beech leaves
my thoughts were dancing,over the cloud dappled lake,of magic colours
these are not plain leaves,these are colourful plane leaves,above the plane leaves
trees of rich colours,magical paradise view,apollos temple
by a cross of stone,guarding this ancient vast place,play young lives of now
restless clouds dancing,copper and jade trees sailing,mirror of the lake
golden waters still,autumn leaves fading away,glimpse of mallard ducks
dark shadows shining,shadows of gold and green shades,shadows of trees glow
on cold gusty winds,that tall trees sway and dance to,wintertime arrives
end of the old year,renewal of clock of time,fading of the past
golden eyes to stare,jet black like the darkest night,king of his domain
wild ponies of wales,ancestors of the high hills,rooted in this place
stillness in the air,snow carpeting the green fields,grey light shines from sky
tall trees give shelter,in wind  rain and icy snow,guiding and guarding
on snowy hill top,the shepherd watches his sheep,thinking and dreaming
welsh flags are flying,on caerphilly castle walls,in the winters snow
walking on the path,by snow covered welsh castle,a lady in red
the old oak tree stands,protecting and sheltering,with its outstretched arms
snow blankets the ridge,below billowing white clouds,sunlight and shadows
low sunrays shining,golden sunset magic time,long winter shadows
end of winters day,sun dying over the sea,golden memories
sheep speckled mountain,people treading the old paths,welsh black cattle graze
icy welsh mountain,speckles on the high summit,just men and giants
rocks and sand and sea,pools of icy cold water,winter memories
sleeping trees waken,now lit with soft leaves of light,warming  the cold woods
snow topped hills of wales,sheep grazing on the steep slopes,land of poetry
celebrate easter,resurrection from the earth,the gifts of new life
silver dancer sways,slender branches blow in wind,sacred tree of old
canal cottage walls,heavy hooves on the tow path,boat of bright colours
snow covers the floor,no roof to protect from storms,shelter from stone walls
for two hundred years,horseshoe pass road twists and bends,hanging on mountain
facing the mountains,southwards to the sun and sea,bodnant in beauty
stone walls stand guarding,the old town of caernarfon,castle of beauty
slate quarries now gone,cottage sleeping in the past,mountain memories
windows on the world,past lives decayed in the past,locked still in the stones
in serene silence,where buzzards soar in the sky,the white summer house
twisting road through pass,mists of secret ancient times,mountains of giants
reaching to the sky,beauty in its silent grace,protecting the graves
seats to watch over,the precious sleeping children,with love and beauty
first bluebells are here,rain and cold winds blow down on,scented sapphires
new foal of pure gold,spirit of the high mountains,so wild and carefree
spirited ponies,breathe the welsh air of heaven,peaceful in silence
watching the ponies,standing in the warm sunshine,moments of beauty
green pastures of wales,rolling down to blue waters,just bleating of sheep
glowing garden glens,glimmering green galleries,give gentle glances
reaching to heaven,clouds of white billowing mists,so far yet so near
free as bird that flies,where mountain peaks are so high,valleys  lakes and sea
blue sky whispy clouds,sea serene and shimmering,evening by the sea
necks arched in repose,stillness in the silent air,swan song of beauty
feathers of soft silk,colours of clouds in the sky,silence of the swans
sea waves silvery,jurrassic cliffs of old rock,treasures of the coast
by box pond foxgloves,light up shadows in the woods,trees softly whisper
come and walk with me,on bridge of tranquillity,and perfumed flowers
meet at the arbour,looking over green woodlands,to distant landscape
colour of deep calm,colour of life on this earth,colour of leaf birth
silver sea soft sky,screech of seagulls special sounds,ponies in the surf
seagulls are calling,sea waves crash in the distance,ponies cantering
evening light now falls,seagulls resting on the shore,ponies going home
a magical scene,dragonfly in summer sun,in an insect world
on silvery lake,the dancing clouds race in skies,where welsh hills do roam
colourful vistas,an english country garden,in all its glory
penclawdd at day end,golden light fading on sea,marsh grasses hidden
a black and white colt,sat beniethu00a0 blue skies and clouds,enjoying his day
he appeared scrappy,with one eye and rugged frame,wearing rust suits him
so small she was when,i planted her in the sun,to make evening shade
its called a gods sky,when sun rays escape through clouds,as if from heaven
when shadows begin,to eat the light at sunset,darkness will swallow
color sky days blue,when big cotton candy clouds,make shapes in the sky
such a handy bridge,for crossing tiny puddles,of left over rain
he knows his job well,collecting the mice and moles,in house and garden
her walls still hold on,to years of being a home,refusing to fall
if not for the tree,standing alone in a field,there would be no shade
if you want a prince,kiss a slimy frog like this,the story book said
sometimes i enjoy,a slow ride home the back way,wind blowing my hair
the sound of tadpoles,singing that late winter day,cured my winter blues
she put a long tub,in the rose bed for herself,to soak at sunset
shadows fall around,announcing a cloudy day,the sun is hiding
the barn seems lonesome,without the house beside him,soon he too will fall
i listen to wind,as it howls and bends the trees,whispering winter
just before darkness,fireflies rise from the ground,as day bids farewell
solar lights turn on,birds in tree tops are chatting,as day bids farewell
the tin roof and rain,seem to play a pleasant song,in perfect rhythem
she spends time peeping,looking out windows and doors,watching the neighbors
i wanted to squash,the frog eating dragonflies,that blue june morning
sunrise or sunset,the two are the same as one,both do a light show
the old rusted truck,still wants to run in spite of,snow ice slush and sleet
the old train car seemed,to be announcing that yes,red suits a caboose
i took time today,to watch the sun slowly fall,into dark of night
moss speaks in colors,touch of green says winters time,will soon be ending
the sky went crazy,blue and white mixed together,like a bowl of soup
the snowman held on,getting smaller and smaller,refusing to melt
late night morning light,holds on to darkness slowly,swallowed by the sun
a tattered old barn,sits in the valleyu00a0 below,his time is not done
god never tires,of the little oops in life,he loves to smile down
old cat is tired,three fat moles he left today,next to my shovel
they passed a law that,barns not advertise smoking,so tell them goodbye
on warm moonlit nights,we turn on his radio,and bring him to life
pine trees collected,as much snow as they could hold,awaiting sunset
she built her nest low,on a split rail fence of grapes,tucked under the leaves
do her walls still hold,the laughter and chatter of,long ago children
it still dont seem right,seven old men with a girl,who does all the chores
orions only,constellation i can find,rest are all just stars
yellows the only,primary color not here,it must be elsewhere
classy graffiti,ann arbor boasts old masters,in downtown alleys
orange doors: too good,to transform to usual,black and white image
can women eat here,not according to the sign,photo may be cropped
some see black and white,some see many shades of gray,a few see color
in my mind the whole,state of new mexico looks,exactly like this
i would walk these stairs,just for the joy of color,and the rainbows end
what must sea ones think,to see the strange lights drop down,into their dark world
radiating lights,a lineup of containers,holding who knows what
a crossing of lights,a pair of bold bright colors,does x mark the spot
strange to know what lies,between the dates on the stone,is a persons life
scroll work softens bars,allows the art element,to rise and endure
squiggle graffiti,on a concrete block sidewall,says it all and more
will any name work,for this fragile piece of art,call it beautiful
caught in the quiet,and supreme understanding,of a holy place
inviting oval,metal fringes like real leaves,respond to the wind
sunshades and water,the perfect mix for a day,of lounging around
not coincidence,the mating of old and new,someones planned design
what lies behind each,of these three doors can you guess,mysteries abound
alien in scope,never judge a flower by,its unopened phase
small glass squares shivered,in winters wind casting their,colors to the ground
like the oceans waves,intricacies of past times,surge and then are gone
a thing of the past,fine transoms above doorways,to let the wind speak
ah shadows evoke,a more fascinating look,than the real object
how do lines hold up,all that exquisite fine weight,it must be balance
blue wall closed window,curtains drawn against the heat,someone is sleeping
all those glaring lights,and many still choose darkness,including the stars
daylight meets lamplight,one starts where the other fails,few notice the change
lines for making shade,looking like piano keys,metaphor for place
heaven surely waits,for one so surrounded by,a lifetime of love
valiant shrubbery,stays green even in winter,even with new snow
what catches the eye,the angle of light on stairs,shows the way to go
is g for god or,greatness goodness gratitude,generosity
nested colored bowls,do not know anxiety,do not fear breakage
alley passageway,look up for the only light,follow the bricks home
insect art color,dew ridden still evolving,what will the wind bring
new snow on a leaf,like granulated sugar,makes me want hot tea
my initial thought,like a yellow submarine,what goes on inside
mysterious marks,try to hide an outlaw kick,creating odd art
sacrificial lamb,a tiny death but one so,unforgettable
green seascape green sky,even the rock glows with green,life and storm are one
always mesmerized,by lights colors and textures,miracles appear
everything is stripped,finally to bare essence,beauty evolving
the message folded,into the shutters was the,mystery that day
eat and walk through stuff,seems a pleasant enough time,where to wipe fingers
dont you wish to know,the many things that happened,once upon a time
new earth and old earth,a trio of guardians,a stone obelisk
various colors,compliment the small towns life,always evolving
the bird house weathered,many storms renovations,is anyone home
weathered in ways we,cannot understand we leave,markers to follow
not rain or dew drops,but the mark fog leaves behind,after soft kisses
which way shall i look,what can i possibly see,not in front of me
perspectives are changed,depending on the lights strength,to enter the glass
natures true design,is to captivate the eye,and the roving mind
creations exist,not for any real reason,except to be there
a glimpse of branches,amidst the concrete and steel,walk slower and see
who knew that chair backs,could create such an image,even in plastic
explosion of lights,could be almost anything,except sheer darkness
round and round and round,a life of endless rolling,into the unknown
long lonesome highway,extended forever view,makes a heart content
serenity plus,everything anyone needs,to embrace pure peace
forget the color,check out the startling textures,unpredicted art
mares tails in the sky,what divine storm created,bursts of sheer delight
names and dates remain,all else fades away is gone,without one last sigh
is it the kings crown,or some sort of fine gentian,knowing wont matter
through a glass darkly,divided panes and true pain,all captured within
decayed elegance,still contains subtle beauty,patina of time
always womens work,grandmother mother and me,keeping the world clean
of course the angels,play when no one else is there,perfectly in tune
bricks board and metal,a tree refusing to die,still life still moment
vibrant neon blue,a reflection of the sky,in many windows
a puddles message,reflection of reflection,is all we need know
a simple handshake,whats gone is gone   or is it,who will ever know
ghostly figures dance,beyond the broken windows,beg for attention
such varied textures,create mystery landscape,that soon melts away
many shapes colors,who knew that beans could become,unexpected art
mystical waters,filling the gold hands of time,so purifying
a mysterious,stair  scene from last nights dream  stops,before ground is reached
during a short lull,the servers have a minute,for their own breakfast
one thing repeated,endlessly becomes stronger,than would first appear
the water taxi,approaches in a blur of,crimson and bright white
did they run out of,paint or realize they picked,a bad shade of green
the cost of doing,business means keeping buildings,through the off season
the placid pastel,saint presides over her world,always gazing up
all that beach trash is,turning into oceanside,art installation
spherical flower,buds tight pink fists waiting to,unfurl their beauty
venus jupiter,and the ruins are lovely,this warm summer night
window blinds pulled at,odd angle throw pacifics,blue light into room
parking meters and,mural help blur line between,art everything else
sea spray on the glass,served to turn the view into,a water color
things dont rust very,fast out here too arid  this,would have taken years
easter eggshells on,the windowsill  their last stop,before compost bin
calming properties,of blue lured them until they,forgot how to see
would a mirror have,a crack to match the one thats,bisecting the wall
like a siren palm,garden lounge sings out to all,who are passing by
solitary man,keeps company with football,and liquor bottles
destructions despair,constructions hope  together,battle to the end
moon escapes clawing,tree branches it always does,escape doesnt it
hanging orbs catch sun,throw colors to anyone,needing light today
those vivid color,patterns are offset by one,titling beer bottle
the carnival ride,had a bit of a stutter,glad i was grounded
self portrait dreams show,up at this mausoleum,in late afternoon
charms: arms hearts and legs,are tacked to red wooden heart,hoping for lucks change
hot dry summers will,bake paint right off the wood here,in new mexico
light fixture turns blind,eye concedes to darkness lets,nighttime win again
someone was fond of,yellow paint but paint alone,cant save walls ceilings
inside the house: a,chair skeleton skeleton,of a dog outside
a while since the scales,twenty pound graduations,mattered in the least
all the blues came out,that day after the welcome,rainfall moved on east
testing paint colors,or censoring graffiti,both are possible
my friend bonnie said,this is abstract art in the,sky shes right of course
turquoise doors and trim,seem less hopeful since fading,peeling have set it
chair working to keep,door open no way to know,why it would matter
one hell of a step,and an arrow plus yellow,underground parking
minimalism,of blues blending together,respite from winter
the ad hoc groupings,oddly formal arrangement,pleasant to observe
delicate versions,of previous vibrant shades,desert sun at work
excellent arrow,term of highest praise  applies,to this example
pacific islands,airport security is,lovely in this light
wait what happened here,three shots and in color too,i hope im ok
weathered wooded cross,anchored by bits of color,and a bunch of rocks
this arrangement of,crosses at a grave looks like,a wrought iron crown
blonde madonna guards,graves her calm patient face a,respite from it all
night lights at grave site,comfort the living the dead,may not have noticed
lavender midnight,blue: who says deserts are just,a single color
postcard views are real,making a long trip worth the,effort that it took
holiday motel,nice not expensive  wifi,kitchens and much more
wavy lines somehow,make pointed shadows something,i cant figure out
no words can enhance,the south pacific night time,skies why even try
rusts lovely colors,patterns can only mask the,certain destruction
eerie glow from night,divers undulates through the,clear ocean water
a desolate place,i stood on the porch to watch,the road it felt right
the day breaks gently,this close to the equator,days nights are equal
soaking in mozart,a purple cactus flower,on the windowsill
"cubical snug, plays","solitaire, eats like you would",load a pellet gun
she's plucking eyebrows,from the wall mirror like an,escher drawn escher
what wind finds you here,"begging shadows, coins tapping",songs for an alley
freeing the ego,doesn't mean abandoning,your love of peaches
black cars drive themselves,"suits, wind flutters pages, me",buried in my clothes
"rabbits at market,",their furs pulled off like mittens?,"shiny, newborn limbs."
frost on morning glass,"winter's gentle face, voices",whisper through windows
a sunflower field,millions of tiny faces,smiling in daylight
skin against my palm,you trace translucent road maps,"read, cartographer"
left in the closet,"an umbrella, forgotten",rain cloud emptying
the sweat dripping drip-,ping into your eyes like tears,for all my efforts
echoes of sunset,your upturned face a canvas?,splashed watercolor
smile amphibian,servile fly crowning frog prince,order among thieves
plane ticket to france,"like a ""fuck thou"" ode to you",if i had the balls
coarse white pubic hair,sign of fleeting time old age,now at the ready
"mountains, but not stone?",white sculptures too pure for hands.,i break like a wave.
"still, white cityscape",belies fury of last night's,edmonton blizzard
luminescent lures,draw them close to its dark mouth,the nightclub swallows
lightning eyes flashing,and your face darkens and clouds,thunder comes after
"quick steps on hard wood,","a racing heart / shadow hips,",scream of passing skin.
winter is a birth,of lofty expectations,for the next season.
"time flows freely, like","water in a river, no",dam can hold it back
fall's blaze of folly,deposits rich red blood cells,on winter's bare bones
the smell of wet earth,streetlight halos in the rain;,yukatta raincoat
"good night, fair city",your belly button sex drive,makes me fucking sick
not willing to leave,"this imperfect nest, this bird",has so much to learn.
whiskey and cigars,perfect companions for this,mountainous refuge
luggage gone astray,'welcome home' from purring cat,the best elixir
curvaceous woman,vibrates at the edge of you,"a dark, sultry lie"
fading oil worker,"bedded now, and filled with tar",counting his regrets
shopaholics wet,leather jackets protect well,river ice creaks loud
